dblp_key,year,title,venue,members
journals/jserd/TonhaoCS24,2024,A portal to catalog worked examples extracted from open source software projects to support the teaching of Software Engineering,J. Softw. Eng. Res. Dev.,igor-steinmacher;simone-tonhao
conf/ease/CoutinhoCLAPAGM24,2024,"""Looks Good To Me ;-)"": Assessing Sentiment Analysis Tools for Pull Request Discussions",EASE,alessandro-garcia;daniel-coutinho;igor-steinmacher
conf/icse-chase/FengGGS23,2023,The State of Diversity and Inclusion in Apache: A Pulse Check,CHASE,marco-gerosa
conf/msr/SantosPPWSG23,2023,Tell Me Who Are You Talking to and I Will Tell You What Issues Need Your Skills,MSR,fabio-santos;igor-steinmacher;igor-wiese;jacob-penney;joao-pimentel;marco-gerosa
journals/ese/SantosVTSPBPWSSG23,2023,Tag that issue: applying API-domain labels in issue tracking systems,Empir. Softw. Eng.,bianca-trinkenreich;fabio-santos;igor-steinmacher;igor-wiese;italo-santos;jacob-penney;joao-pimentel;marco-gerosa
conf/sbqs/MatsubaraSGC23,2023,SwEDeL: Software Estimates' Defense Lenses Designed from Negotiation Methods,SBQS,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
conf/icse/GuizaniCSS23,2023,Rules of Engagement: Why and How Companies Participate in OSS,ICSE,igor-steinmacher
journals/ese/MatsubaraSGC23,2023,Much more than a prediction: Expert-based software effort estimation as a behavioral act,Empir. Softw. Eng.,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
conf/icse/MatsubaraSGC23,2023,Moving on from the Software Engineers' Gambit: An Approach to Support the Defense of Software Effort Estimates,ICSE,bruno-gadelha;igor-steinmacher;patricia-matsubara;tayana-conte
journals/peerj-cs/LimaSFLVCG23,2023,Looking for related posts on GitHub discussions,PeerJ Comput. Sci.,bruno-gadelha;igor-steinmacher;tayana-conte
journals/tosem/VenturiniCPGW23,2023,I Depended on You and You Broke Me: An Empirical Study of Manifesting Breaking Changes in Client Packages,ACM Trans. Softw. Eng. Methodol.,igor-wiese;marco-gerosa
journals/software/WesselZGS23,2023,Guidelines for Developing Bots for GitHub,IEEE Softw.,igor-steinmacher;mairieli-wessel;marco-gerosa
conf/msr/VargovichSPGS23,2023,GiveMeLabeledIssues: An Open Source Issue Recommendation System,MSR,fabio-santos;igor-steinmacher;jacob-penney;marco-gerosa
journals/ese/WesselVGT23,2023,GitHub Actions: The Impact on the Pull Request Process,Empir. Softw. Eng.,mairieli-wessel;marco-gerosa
conf/sbes/TonhaoSHMASCS23,2023,Gamification in Software Engineering Education: a Tertiary Study,SBES,igor-steinmacher;simone-tonhao;williamson-silva
journals/smr/SteinmacherCTB23,2023,"Editorial: Machine learning, software process, and global software engineering",J. Softw. Evol. Process.,igor-steinmacher
journals/smr/SteinmacherCT023,2023,Editorial: Best papers of the 14th International Conference on Software and System Processes (ICSSP 2020) and 15th International Conference on Global Software Engineering (ICGSE 2020),J. Softw. Evol. Process.,igor-steinmacher
conf/icse/TrinkenreichSSGGS23,2023,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,ICSE,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sigsoft/FronchettiSWTGS23,2023,Do CONTRIBUTING Files Provide Information about OSS Newcomers' Onboarding Barriers?,ESEC/SIGSOFT FSE,igor-steinmacher;igor-wiese;marco-gerosa
conf/icse/SantosPWSSG23,2023,Designing for Cognitive Diversity: Improving the GitHub Experience for Newcomers,ICSE (SEIS),igor-steinmacher;igor-wiese;italo-santos;joao-pimentel;marco-gerosa
conf/iticse/SalernoTST23,2023,Barriers and Self-Efficacy: A Large-Scale Study on the Impact of OSS Courses on Student Perceptions,ITiCSE (1),igor-steinmacher;simone-tonhao
conf/conversations/PenneyPSG23,2023,Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking,CONVERSATIONS,igor-steinmacher;jacob-penney;joao-pimentel;marco-gerosa
conf/icse/TrinkenreichSSGSLFRB23,2023,A Model for Understanding and Reducing Developer Burnout,ICSE-SEIP,bianca-trinkenreich;igor-steinmacher;marco-gerosa
conf/sbes/LuzOS23,2023,A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments,SBES,igor-steinmacher
journals/tosem/TrinkenreichWSG22,2022,Women's Participation in Open Source Software: A Survey of the Literature,ACM Trans. Softw. Eng. Methodol.,bianca-trinkenreich;igor-steinmacher;igor-wiese;marco-gerosa
journals/computer/TrinkenreichGS22,2022,Women in Open Source: We Need to Talk About It,Computer,bianca-trinkenreich;igor-steinmacher;marco-gerosa
